MATLAB,Python,Difference,Relative Difference,MATLAB Derivative (Newton approx),Python Derivative (Newton Approximation),Difference,
1,1,0,0,,,,
1.0048,1.00481,-0.00001,-1.27E-05,0.0048,0.00481,-0.00001,
0.99672,0.99673,-0.00001,-1.01E-05,-0.00808,-0.00808,0,
1.0033,1.00333,-0.00003,-3.41E-05,0.00658,0.0066,-0.00002,
1.0267,1.0267,0,-2.82E-06,0.0234,0.02337,0.00003,
1.0259,1.02595,-0.00005,-4.69E-05,-0.0008,-0.00075,-0.00005,
1.034,1.03398,0.00002,2.18E-05,0.0081,0.00803,0.00007,y = f(x)
1.0313,1.03126,0.00004,3.88E-05,-0.0027,-0.00272,0.00002,dy = df/dx
1.031,1.03106,-0.00006,-5.42E-05,-0.0003,-0.0002,-0.0001,
1.0064,1.00639,0.00001,1.35E-05,-0.0246,-0.02467,0.00007,
0.99538,0.99538,0,-3.62E-06,-0.01102,-0.011,-0.00002,
0.99497,0.99498,-0.00001,-6.15E-06,-0.00041,-0.00041,0,
1.0037,1.00375,-0.00005,-5.18E-05,0.00873,0.00878,-0.00005,
1.0028,1.00283,-0.00003,-2.88E-05,-0.0009,-0.00092,0.00002,
0.99331,0.99331,0,-3.44E-06,-0.00949,-0.00952,0.00003,
0.98857,0.98857,0,-2.19E-06,-0.00474,-0.00474,0,
0.99901,0.99901,0,-1.07E-06,0.01044,0.01044,0,
1.0079,1.00787,0.00003,2.81E-05,0.00889,0.00886,0.00003,
1.0167,1.01673,-0.00003,-3.37E-05,0.0088,0.00886,-0.00006,
1.0247,1.02471,-0.00001,-5.93E-06,0.008,0.00797,0.00003,
1.0216,1.02158,0.00002,1.76E-05,-0.0031,-0.00312,0.00002,
1.024,1.02404,-0.00004,-4.01E-05,0.0024,0.00246,-0.00006,
1.0241,1.02406,0.00004,3.43E-05,0.0001,0.00002,0.00008,
1.0216,1.02162,-0.00002,-1.78E-05,-0.0025,-0.00245,-0.00005,
1.0136,1.01356,0.00004,3.52E-05,-0.008,-0.00805,0.00005,
1.0164,1.01637,0.00003,3.19E-05,0.0028,0.0028,0,
1.0107,1.01069,0.00001,1.42E-05,-0.0057,-0.00568,-0.00002,
1.0154,1.01542,-0.00002,-1.95E-05,0.0047,0.00473,-0.00003,
1.0191,1.01909,0.00001,9.74E-06,0.0037,0.00367,0.00003,
1.029,1.02903,-0.00003,-2.75E-05,0.0099,0.00994,-0.00004,
1.0423,1.04231,-0.00001,-1.34E-05,0.0133,0.01329,0.00001,
1.0384,1.03836,0.00004,3.70E-05,-0.0039,-0.00395,0.00005,
1.047,1.04704,-0.00004,-4.02E-05,0.0086,0.00868,-0.00008,
1.0508,1.05078,0.00002,1.54E-05,0.0038,0.00374,0.00006,
1.0427,1.04266,0.00004,3.64E-05,-0.0081,-0.00812,0.00002,
1.0535,1.05356,-0.00006,-5.40E-05,0.0108,0.01089,-0.00009,
1.0468,1.04686,-0.00006,-5.97E-05,-0.0067,-0.00669,-0.00001,
1.0504,1.05038,0.00002,1.54E-05,0.0036,0.00352,0.00008,
1.0482,1.0482,0,4.46E-06,-0.0022,-0.00219,-0.00001,
1.034,1.03398,0.00002,1.89E-05,-0.0142,-0.01421,0.00001,
1.0326,1.03264,-0.00004,-3.95E-05,-0.0014,-0.00134,-0.00006,
1.0316,1.03161,-0.00001,-1.40E-05,-0.001,-0.00103,0.00003,
1.0381,1.03815,-0.00005,-4.88E-05,0.0065,0.00654,-0.00004,
1.0274,1.0274,0,-4.51E-06,-0.0107,-0.01075,0.00005,
1.0185,1.01855,-0.00005,-5.30E-05,-0.0089,-0.00885,-0.00005,
1.0223,1.02232,-0.00002,-1.92E-05,0.0038,0.00377,0.00003,
1.0241,1.02408,0.00002,2.01E-05,0.0018,0.00176,0.00004,
1.0212,1.02121,-0.00001,-7.85E-06,-0.0029,-0.00287,-0.00003,
1.0289,1.02891,-0.00001,-1.45E-05,0.0077,0.00771,-0.00001,
1.0335,1.03353,-0.00003,-3.27E-05,0.0046,0.00462,-0.00002,
1.0314,1.03142,-0.00002,-1.58E-05,-0.0021,-0.00212,0.00002,
1.0372,1.03725,-0.00005,-4.95E-05,0.0058,0.00584,-0.00004,
1.0359,1.03593,-0.00003,-3.33E-05,-0.0013,-0.00132,0.00002,
1.0324,1.03244,-0.00004,-3.40E-05,-0.0035,-0.0035,0,
1.0308,1.03082,-0.00002,-1.61E-05,-0.0016,-0.00162,0.00002,
1.0211,1.02114,-0.00004,-3.44E-05,-0.0097,-0.00968,-0.00002,
1.0016,1.00167,-0.00007,-7.47E-05,-0.0195,-0.01946,-0.00004,
0.97934,0.97938,-0.00004,-4.35E-05,-0.02226,-0.02229,0.00003,
0.98873,0.98877,-0.00004,-4.18E-05,0.00939,0.00939,0,
0.97416,0.97421,-0.00005,-4.73E-05,-0.01457,-0.01457,0,
0.97309,0.97313,-0.00004,-3.83E-05,-0.00107,-0.00108,0.00001,
0.98059,0.98063,-0.00004,-3.61E-05,0.0075,0.0075,0,
0.97011,0.97015,-0.00004,-4.21E-05,-0.01048,-0.01047,-0.00001,
0.98258,0.98263,-0.00005,-4.85E-05,0.01247,0.01248,-0.00001,
0.98307,0.98311,-0.00004,-4.25E-05,0.00049,0.00048,0.00001,
0.9917,0.99175,-0.00005,-4.82E-05,0.00863,0.00864,-0.00001,
1.0004,1.00044,-0.00004,-4.47E-05,0.0087,0.0087,0,
0.99558,0.99563,-0.00005,-4.65E-05,-0.00482,-0.00482,0,
0.99516,0.99521,-0.00005,-4.64E-05,-0.00042,-0.00042,0,
0.99708,0.99713,-0.00005,-4.70E-05,0.00192,0.00192,0,
0.99345,0.99349,-0.00004,-4.48E-05,-0.00363,-0.00363,0,
0.99154,0.99158,-0.00004,-4.46E-05,-0.00191,-0.00191,0,
0.99335,0.99339,-0.00004,-4.27E-05,0.00181,0.00181,0,
0.99192,0.99196,-0.00004,-4.41E-05,-0.00143,-0.00143,0,
0.98609,0.98613,-0.00004,-4.49E-05,-0.00583,-0.00583,0,
0.97221,0.97225,-0.00004,-4.56E-05,-0.01388,-0.01388,0,
0.95875,0.95879,-0.00004,-4.30E-05,-0.01346,-0.01346,0,
0.9486,0.94865,-0.00005,-4.77E-05,-0.01015,-0.01015,0,
0.92686,0.9269,-0.00004,-4.67E-05,-0.02174,-0.02174,0,
0.95787,0.95792,-0.00005,-4.99E-05,0.03101,0.03101,0,
0.95013,0.95018,-0.00005,-5.02E-05,-0.00774,-0.00774,0,
0.94614,0.9462,-0.00006,-5.94E-05,-0.00399,-0.00398,-0.00001,
0.96394,0.964,-0.00006,-5.77E-05,0.0178,0.0178,0,
0.97908,0.97914,-0.00006,-6.63E-05,0.01514,0.01515,-0.00001,
0.97709,0.97715,-0.00006,-5.98E-05,-0.00199,-0.002,0.00001,
0.98423,0.98429,-0.00006,-6.06E-05,0.00714,0.00714,0,
0.99592,0.99598,-0.00006,-6.08E-05,0.01169,0.01169,0,
1.017,1.0171,-0.0001,-9.80E-05,0.02108,0.02112,-0.00004,
1.0234,1.02345,-0.00005,-4.92E-05,0.0064,0.00635,0.00005,
1.0215,1.02159,-0.00009,-9.01E-05,-0.0019,-0.00186,-0.00004,
1.0325,1.03255,-0.00005,-4.78E-05,0.011,0.01096,0.00004,
1.0523,1.05234,-0.00004,-4.03E-05,0.0198,0.01979,0.00001,
